1778,4
1779,6
1780,4
1781,1
1782,6
1783,4
1784,2
1785,4
1786,8
1787,4
1788,2
1789,4
1790,2
1791,4
1792,6
1793,8
1794,3
1795,3
1796,1
1797,4
1798,5
1799,2
1800,4
1801,5
1802,4
1803,4
1804,7
1805,5
1806,2
1807,7
1808,7
1809,4
1810,7
1811,7
1812,3
1813,2
1814,4
1815,3
1816,1
1817,2
1818,6
1819,7
1820,5
1821,4
1822,5
1823,2
1824,2
1825,3
1826,3
1827,5
1828,2
1829,2
1830,2
1831,6
1832,4
1833,6
1834,8
1835,2
1836,8
1837,2
1838,4
1839,5
1840,3
1841,4
1842,8
1843,5
1844,6
1845,4
1846,8
1847,5
1848,3
1849,1
1850,2
1851,8
1852,8
1853,5
1854,7
1855,2
1856,2
1857,8
1858,8
1859,1
1860,2
1861,7
1862,5
1863,7
1864,1
1865,3
1866,3
1867,4
1868,4
1869,1
1870,2
1871,6
1872,2
1873,1
1874,7
1875,5
1876,6
1877,1
1878,2
1879,8
1880,1
1881,6
1882,8
1883,1
1884,6
1885,1
1886,1
1887,1
1888,2
1889,4
1890,1
1891,6
1892,3
1893,5
1894,1
1895,3
1896,2
1897,3
1898,4
1899,6
1900,5
1901,7
1902,8
1903,4
1904,7
1905,2
1906,7
1907,3
1908,2
1909,6
1910,8
1911,2
1912,5
1913,1
1914,7
1915,7
1916,1
1917,3
1918,6
1919,5
1920,1
1921,7
1922,5
1923,8
1924,3
1925,8
1926,2
1927,7
1928,8
1929,5
1930,4
1931,3
1932,1
1933,3
1934,5
1935,5
1936,6
1937,7
1938,2
1939,5
1940,7
1941,5
1942,3
1943,7
1944,6
1945,4
1946,2
1947,3
1948,7
1949,4
1950,3
1951,1
1952,1
1953,7
1954,6
1955,8
1956,7
1957,8
1958,8
1959,4
1960,1
1961,1
1962,4
1963,7
1964,2
1965,7
1966,6
1967,6
1968,6
1969,1
1970,1
1971,3
1972,1
1973,1
1974,7
1975,8
1976,6
1977,3
1978,2
1979,2
1980,8
1981,5
1982,7
1983,8
1984,5
1985,6
1986,8
1987,4
1988,2
1989,7
1990,6
1991,8
1992,3
1993,4
1994,1
1995,1
1996,8
1997,3
1998,7
1999,7
2000,8
2001,2
2002,3
2003,5
2004,1
2005,7
2006,7
2007,5
2008,4
2009,7
2010,2
2011,3
2012,5
2013,8
2014,1
2015,1
2016,7
2017,3
2018,5
2019,5
2020,7
2021,1
2022,3
2023,4
2024,1
2025,7
2026,8
2027,1
2028,6
2029,5
2030,2
2031,7
2032,5
2033,3
2034,7
2035,6
2036,2
2037,1
2038,5
2039,6
2040,1
2041,6
2042,8
2043,4
2044,7
2045,3
2046,4
2047,2
2048,4
2049,8
2050,2
2051,3
2052,6
2053,4
2054,4
2055,6
2056,1
2057,3
2058,1
2059,5
2060,4
2061,5
2062,8
2063,4
2064,7
2065,5
2066,6
2067,3
2068,7
2069,3
2070,7
2071,3
2072,1
2073,7
2074,2
2075,1
2076,7
2077,7
2078,7
2079,6
2080,5
2081,1
2082,7
2083,3
2084,2
2085,6
2086,1
2087,1
2088,6
2089,8
2090,4
2091,4
2092,5
2093,4
2094,4
2095,1
2096,4
2097,5
2098,6
2099,2
2100,2
2101,4
2102,6
2103,8
2104,4
2105,4
2106,8
2107,5
2108,2
2109,3
2110,7
2111,4
2112,5
2113,5
2114,8
2115,8
2116,7
2117,5
2118,7
2119,5
2120,8
2121,2
2122,2
2123,1
2124,5
2125,5
2126,8
2127,1
2128,4
2129,3
2130,5
2131,2
2132,7
2133,4
2134,4
2135,6
2136,4
2137,4
2138,7
2139,1
2140,2
2141,3
2142,3
2143,3
2144,3
2145,2
2146,1
2147,5
2148,7
2149,8
2150,4
2151,5
2152,7
2153,5
2154,6
2155,2
2156,1
2157,8
2158,2
2159,5
2160,7
2161,7
2162,5
2163,7
2164,7
2165,3
2166,6
2167,7
2168,7
2169,8
2170,6
2171,5
2172,2
2173,8
2174,1
2175,3
2176,7
2177,1
2178,6
2179,3
2180,3
2181,5
2182,7
2183,7
2184,8
2185,1
2186,1
2187,8
2188,4
2189,5
2190,7
2191,3
2192,1
2193,4
2194,8
2195,8
2196,5
2197,4
2198,6
2199,2
2200,6
2201,4
2202,3
2203,4
2204,7
2205,4
2206,7
2207,4
2208,2
2209,1
2210,7
2211,4
2212,2
2213,5
2214,4
2215,3
2216,1
2217,5
2218,3
2219,7
2220,3
2221,6
2222,6
2223,7
2224,7
2225,4
2226,8
2227,7
2228,4
2229,7
2230,7
2231,6
2232,3
2233,2
2234,7
2235,8
2236,1
2237,4
2238,1
2239,4
2240,6
2241,4
2242,2
2243,5
2244,5
2245,8
2246,2
2247,4
2248,5
2249,5
2250,2
2251,8
2252,7
2253,4
2254,8
2255,1
2256,1
2257,3
2258,1
2259,5
2260,1
2261,7
2262,4
2263,3
2264,8
2265,1
2266,4
2267,2
2268,7
2269,7
2270,4
2271,3
2272,3
2273,7
2274,2
2275,7
2276,8
2277,7
2278,2
2279,4
2280,6
2281,7
2282,3
2283,5
2284,3
2285,1
2286,4
2287,5
2288,8
2289,3
2290,8
2291,2
2292,1
2293,6
2294,3
2295,5
2296,1
2297,5
2298,8
2299,8
2300,2
2301,2
2302,2
2303,2
2304,6
2305,5
2306,2
2307,6
2308,4
2309,7
2310,4
2311,8
2312,1
2313,1
2314,5
2315,7
2316,4
2317,6
2318,1
2319,7
2320,6
2321,3
2322,7
2323,1
2324,7
2325,3
2326,4
2327,8
2328,5
2329,7
2330,2
2331,2
2332,8
2333,3
2334,1
2335,4
2336,4
2337,1
2338,2
2339,6
2340,7
2341,1
2342,8
2343,7
2344,7
2345,2
2346,1
2347,6
2348,3
2349,7
2350,3
2351,3
2352,1
2353,4
2354,2
2355,1
2356,3
2357,5
2358,1
2359,4
2360,8
2361,5
2362,4
2363,3
2364,7
2365,3
2366,2
2367,5
2368,3
2369,5
2370,7
2371,1
2372,8
2373,1
2374,8
2375,4
2376,5
2377,1
2378,8
2379,6
2380,1
2381,2
2382,2
2383,1
2384,3
2385,6
2386,5
2387,8
2388,2
2389,5
2390,1
2391,8
2392,3
2393,7
2394,4
2395,8
2396,2
2397,4
2398,1
2399,3
2400,4
2401,5
2402,4
2403,2
2404,8
2405,7
2406,2
2407,5
2408,5
2409,5
2410,4
2411,5
2412,7
2413,4
2414,4
2415,3
2416,1
2417,5
2418,6
2419,7
2420,4
2421,7
2422,5
2423,4
2424,2
2425,1
2426,8
2427,7
2428,1
2429,1
2430,2
2431,8
2432,2
2433,4
2434,7
2435,4
2436,4
2437,4
2438,5
2439,1
2440,8
2441,7
2442,8
2443,8
2444,3
2445,7
2446,3
2447,1
2448,1
2449,3
2450,4
2451,4
2452,3
2453,5
2454,2
2455,1
2456,8
2457,4
2458,6
2459,5
2460,1
2461,7
2462,6
2463,3
